step	t	dt	radius	area	distances	eccentricity	vacuole_num	vacuole_areas	Pmin	Pmax	Rmin	Rmax	Rtotal	Kp_step	Pavg	Ravg	f	t_sim
0	0.0	0.0001	3.9861604138372297	52	1.4142135623730951	0.0	0		0.10247153848960366	0.6353504129396209	1.3373913580728076e-53	0.0002496506467509056	0.005599602550843259	100.0	0.1289278871770447	1.980584781084386e-06	4.8042479207812345	8.64
100	10.312022611848306	0.5	0.0	41	1.4142135623730951	2.954614900099358e-28	1	110.0	0.09880813925720941	0.3182033022296378	5.170938182584111e-10	0.5477279636495695	31.154495061526355	100.0	0.1289278871832208	0.011019374718288814	83.23747210253234	175.65
200	60.312022611848306	0.5	0.0	0	nan	nan	0		0.09821807217352663	0.27153937245653853	2.7753200034744285e-09	0.5403724173669379	29.782279971157948	100.0	0.12892788721502554	0.010534020927607952	78.47235644775554	422.24
300	110.3120226118483	0.5	0.0	0	nan	nan	0		0.09810618373763655	0.2609367010093434	2.7147431215989884e-09	0.539188093589002	29.533437128321204	100.0	0.12892788723473161	0.010446004975952595	77.64727143040383	911.24
400	160.3120226118483	0.5	0.0	0	nan	nan	0		0.09804339756829054	0.2554848899188403	2.684690977306457e-09	0.5385366482878529	29.399635399556658	100.0	0.12892788721941023	0.010398679176439569	77.20265566207837	1451.87
500	210.3120226118483	0.5	0.0	0	nan	nan	0		0.0980017020114587	0.25219700759631025	2.6656940534353656e-09	0.5381089730365931	29.31356890925505	100.0	0.12892788720242143	0.010368237376453775	76.91583121347371	1937.13
600	260.3120226118483	0.5	0.0	0	nan	nan	0		0.09797236337428741	0.25001175404940074	2.6525903123978884e-09	0.5378102057716871	29.254413279192473	100.0	0.1289278871873319	0.010347313973488372	76.71822970991896	2414.16
700	310.3120226118483	0.5	0.0	0	nan	nan	0		0.09795139602134419	0.24851723599237008	2.6435301250905055e-09	0.5375976697069295	29.212843834587552	100.0	0.1289278871735355	0.010332610821149418	76.57912568787859	2896.17
800	360.3120226118483	0.5	0.0	0	nan	nan	0		0.09793639845489993	0.24746887369027404	2.6371915937838607e-09	0.5374461055185141	29.183461852406996	100.0	0.12892788715990416	0.010322218385933434	76.4806776221514	3433.75
900	410.3120226118483	0.5	0.0	0	nan	nan	0		0.09792570250914043	0.2467312849070179	2.6327395776424727e-09	0.537338231643556	29.162681280310903	100.0	0.1289278871466968	0.010314868277695921	76.41098605618406	4005.88
1000	460.3120226118483	0.5	0.0	0	nan	nan	0		0.09791809908133622	0.24621174556918474	2.629607873575814e-09	0.5372616525134637	29.147994936686956	100.0	0.12892788713458656	0.010309673703901217	76.36170117759279	4582.21
1100	510.3120226118483	0.5	0.0	0	nan	nan	0		0.09791270834493605	0.24584557820651404	2.6274046445171633e-09	0.5372074097610672	29.137624995948016	100.0	0.128927887122812	0.010306005845937763	76.32688592059884	5144.98
1200	560.3120226118483	0.5	0.0	0	nan	nan	0		0.09790889393406818	0.2455873881616988	2.625854086916753e-09	0.5371690528947286	29.13030842933842	100.0	0.12892788711126532	0.010303417969325953	76.30231421601282	5696.02
1300	610.3120226118483	0.5	0.0	0	nan	nan	0		0.09790619874802045	0.24540524755453266	2.6247634138522984e-09	0.5371419624132329	29.12514917322632	100.0	0.12892788709965905	0.010301593135501667	76.28498378849764	6228.82
1400	660.3120226118483	0.5	0.0	0	nan	nan	0		0.09790429629655913	0.24527668327234176	2.623996031958617e-09	0.5371228455352159	29.121512663587612	100.0	0.12892788708768543	0.010300306898562294	76.27276656439108	6739.5
1500	710.3120226118483	0.5	0.0	0	nan	nan	0		0.09790295435946238	0.24518587215819324	2.6234564242532243e-09	0.5371093634281405	29.118950233511914	100.0	0.12892788707577316	0.01029940056459226	76.26415690481046	7254.7
1600	760.3120226118483	0.5	0.0	0	nan	nan	0		0.0979020082596877	0.24512167131727916	2.62307726314686e-09	0.537099859096165	29.11714502761656	100.0	0.12892788706396874	0.010298762061539481	76.25809102864669	7766.47
1700	810.3120226118483	0.5	0.0	0	nan	nan	0		0.0979013414574012	0.2450762327098336	2.622810758481574e-09	0.5370931607753134	29.115873466937686	100.0	0.12892788705178995	0.010298312309310472	76.25381809546695	8269.01
1800	860.3120226118483	0.5	0.0	0	nan	nan	0		0.0979008716098719	0.24504428089131955	2.62262376770023e-09	0.5370884408041671	29.114977895372686	100.0	0.12892788703964703	0.010297995544790864	76.25080851111322	8769.89
1900	910.3120226118483	0.5	0.0	0	nan	nan	0		0.09790054058603996	0.24502294963619692	2.622492480030185e-09	0.5370851152202419	29.114347180293343	100.0	0.12892788702749164	0.010297772460263704	76.24868893369376	9267.97
2000	960.3120226118483	0.5	0.0	0	nan	nan	0		0.09790030739143277	0.2450079992149203	2.62240058273155e-09	0.5370827721318661	29.11390301953122	100.0	0.12892788701531147	0.010297615360177079	76.24719625326043	9763.46
2100	1010.3120226118483	0.5	0.0	0	nan	nan	0		0.09790014311605771	0.2449975346029246	2.622336179968051e-09	0.5370811212646568	29.11359024182754	100.0	0.1289278870027759	0.010297504730403955	76.24614510286985	10248.2
